nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
"Saus Kari (Kering, Dikeringkan)",1 gelas (240 ml),120,"6,47g","14,17g","2,63g",,0mg
Wijen Sangrai,1 porsi (20 g),70,6g,4g,0g,,"0,00g"
Hot Chicken Flavor Sauce,1 porsi (6 g),15,1g,2g,0g,"2,00g","0,000g"
Saus Bulgogi,100 ml,210,0g,49g,3g,2580mg,"0,000g"
Mie Goreng,"1 porsi (11,25 g)",35,1g,6g,1g,,"4,00g"
Saus Tiram,1 porsi (5 g),0,0g,1g,0g,,"1,00g"
Sweet Corn Cream Style,1 porsi (125 g),60,0g,14g,1g,,"2,0g"
Saus Koktail,1 gelas,221,"1,17g","56,87g","4,12g",2364mg,0mg
Saus Lobak,1 sdm,29,"2,86g","0,61g","0,44g",44mg,6mg
Sambal Terasi Uleg,1 sachet (8 g),15,"0,5g",2g,0g,20mg,"0,00g"
Sambal Goreng,1 sdm,15,"0,41g","1,56g","1,37g",139mg,8mg
Caesar,1 porsi (25 ml),70,6g,3g,1g,,
Kecap Manis,1 sdm (15 ml),60,0g,15g,0g,0mg,"0,00g"
Spaghetti Bolognese Sauce with Beef Meat,1 porsi (90 g),90,"2,5g",13g,5g,"10,00g","0,000g"
Saus Tomat,1 sachet (9 g),10,0g,3g,0g,,"0,00g"
Roasted Sesame Salad Dressing,2 sdm (20 g),70,6g,4g,0g,,"4,00g"
Saus Barbeque,1 porsi (50 g),30,"0,5g",6g,1g,0mg,"1,00g"
Sambal Pedas Manis,1 sajian (12 g),20,0g,5g,0g,"4,00g","0,000g"
Tomato Puree,100 g,25,0g,2g,4g,,
Mayumi,1 sendok (20 g),70,"4,5g",6g,0g,0mg,4mg
Tauco,100 gram (g),177,"4,92g","24,16g","10,11g","1,92g","0,91g"
Saus Pedas Ala Szechuan,1 porsi (11 ml),15,0g,4g,0g,,"4,00g"
Roasted Sesame Salad Dressing,1 porsi (25 ml),100,9g,4g,1g,,"4,00g"
Saus Bulgogi BBQ,1 porsi (90 g),150,"3,5g",28g,2g,,"28,00g"
Saus Topokki Hot Spicy,1 porsi (30 g),80,"0,5g",18g,1g,,"14,00g"
Sambal Ekstra Pedas,1 sdm (15 ml),15,0g,4g,0g,310mg,"0,000g"
Mayones,1 sdm,57,"4,91g","3,51g","0,13g",105mg,4mg
Saus Spagheti Bolognais,1 takaran saji (90 g),100,3g,14g,5g,,"14,00g"
Saus Tomat,1 takaran saji (15 ml),20,0g,5g,0g,,"0,00g"
Saus Teriyaki,1 sdm,15,0g,"2,87g","1,07g",690mg,0mg
Saus Asam Manis,"1 sajian (6,3 ml)",15,0g,3g,0g,"2,00g","0,000g"
Sambal Ekstra Pedas,1 sdm (12 g),15,0g,4g,0g,,"2,00g"
Saus Sambal,1 takaran saji (6 ml),10,0g,2g,0g,,"0,00g"
Kecap Manis,1 sdm (14 ml),60,0g,15g,0g,,"15,00g"
Saus Barbeque,2 sdm (50 g),60,0g,14g,0g,,880mg
Saus Tiram,100 gram (g),51,"0,25g","10,92g","1,35g",2733mg,0mg
Saus Barbekyu,1 sdm,12,"0,28g",2g,"0,28g",127mg,0mg
Sambal Asli ABC,1 takaran saji (15 g),20,0g,4g,0g,,"3,00g"
Extra Hot Chilli Sauce,1 porsi (15 g),15,0g,4g,0g,310mg,"0,000g"
Saus Sambal Ekstra Pedas,1 porsi (15 ml),20,0g,5g,0g,,280mg
Chili Sauce,1 sachet (18 g),20,0g,5g,0g,,"4,00g"
Saus Sambal,1 sachet (9 g),15,0g,3g,0g,,220mg
Saus Tomat,1 sdm,15,"0,06g","3,76g","0,26g",167mg,0mg
Saus Sambal,1 sendok (15 g),20,0g,4g,0g,,330mg
Saus Lada Hitam,"1 sendok (6,5 ml)",10,0g,2g,0g,"2,00g","0,000g"
Saus Apel dengan Gula,"1 mangkok, saus",194,"0,46g","50,77g","0,46g",8mg,0mg
Kecap Asin (Kedelai) (Rendah Sodium),1 sdm,10,"0,01g","1,53g","0,93g",600mg,0mg
Pecel,1 sdm,79,"5,16g","6,81g","2,66g",4mg,0mg
Saus Pesto,1 sdm,80,"7,51g","0,76g","2,71g",105mg,6mg
Delisaos Hot Lava Korean Chicken Sauce,1 takaran saji (10 g),25,0g,5g,0g,,"5,00g"
Soya Bean Sauce with Chillies (Sambal Kecap),2 sdm (14 g),84,4g,11g,1g,,"11,00g"
Saus Bulgogi,1 porsi (40 g),45,1g,7g,1g,,"1,00g"
Sarden Saus Tomat,1 porsi (56 g),60,"1,5g",2g,11g,,"2,00g"
Spaghetti Sauce,1/2 cup (125 g),70,1g,14g,2g,,"2,00g"
Black Pepper Sauce,1 takaran (25 g),40,0g,10g,0g,,360mg
Surabiyaki Saus Durian,1 bungkus (50 g),200,15g,14g,2g,,"14,00g"
Sauce For Teriyaki Chicken,1 porsi (18 g),30,0g,8g,0g,,"0,000g"
Delisaos Hot Lava Volcano,1 porsi (9 g),20,0g,4g,0g,,"4,00g"
Cheese Sauce,1 porsi (15 g),35,2g,3g,1g,,"3,00g"
Blueberry Jam,1 porsi (10 g),25,0g,7g,0g,,
Carbonara Sauce Mix,"1 porsi (22,4 g)",100,5g,12g,3g,,"1,0g"
Mayonais Pedas,1 porsi (25 g),80,7g,4g,0g,,"4,00g"
Indonesian Gourmet Chili,1 porsi (8 g),15,0g,3g,0g,"2,00g","0,000g"
Saos Japchae,1 porsi (30 g),35,0g,8g,1g,"7,00g","0,000g"
Korean BBQ Sauce,1 porsi (25 g),70,"0,5g",14g,0g,,"0,00g"
Sambal Terasi,1 porsi (15 g),60,"4,5g",4g,1g,,"4,00g"
Mayonnaise Roasted Sesame,1 takaran saji (15 g),50,5g,0g,0g,,"0,00g"
Saus Rasa Tiram,"1 sdm (8,8 ml)",20,0g,6g,0g,,"0,00g"
Sambal Extra Pedas,1 sachet (15 g),20,0g,4g,0g,,400mg
Chiu Chow Style Chili Oil,1 tsp (5 g),35,4g,0g,0g,,140mg
Sambal Rumahan Balado Merah,"1 porsi (12,5 g)",30,2g,3g,0g,,"3,00g"
Hoisin Sauce,1 porsi (15 g),50,0g,"12,5g","0,5g",,"10,00g"
Saus Topokki,1 porsi (32 g),90,0g,20g,1g,,680mg
Saus Mie Jepang,1 sdm (15 g),20,0g,5g,1g,"4,00g","0,000g"
Saus Katsu,1 porsi  (15 ml),20,0g,5g,0g,,"4,00g"
Sambal Bawang,1 sachet (15 g),50,4g,3g,1g,400mg,0mg
Char Siu Sauce,1 porsi (22 g),60,0g,14g,0g,,
Saus Spaghetti,1 sajian (50 g),70,2g,13g,1g,,"1,00g"
Sambal Pecel Pedas,1 porsi (20 g),250,16g,18g,8g,"0,00g","0,000g"
Sambal Nusantara Terasi Khas Jawa Barat,1 sachet (18 g),45,"1,5g",7g,1g,,"5,00g"
Saus Keju,2 sendok makan (25 g),80,7g,4g,0g,,"3,00g"
Sambal Ijo,1 sendok (20 g),45,3g,4g,1g,,"4,00g"
Saos Tiram,"1 sdm (5,8 g)",5,0g,1g,0g,,290mg
Barbeque Sauce,5 sendok makan (50 g),60,0g,14g,0g,,"0,00g"
Sarden Goreng Dalam Saus Kecap,1 kaleng (60 g),110,8g,5g,5g,"0,00g","0,000g"
Saus Tiram,1 tbsp (18 g),25,0g,5g,1g,,"1,00g"
Saus Asam Manis,1 porsi (50 g),50,"1,5g",8g,1g,,"8,00g"
Salad Dressing dengan Wijen Sangrai,1 takaran saji (25 ml),100,9g,4g,1g,"4,00g","0,000g"
Chicken Flavour Bolognese,1 porsi (75 g),120,2g,22g,2g,,"22,00g"
